0,1,2
NumberOfOtherIssuesOfShares,Should be greater than or equal to zero,
NumberOfSharesIssuedUnderEmployeeStockOptionPlan,Should be greater than or equal to zero. ,
NumberOfOtherIssueOfSharesArisingOutOfConversionOfSecurities,Should be greater than or equal to zero,
AggregateNumberOfSharesIssuedDuringPeriod,Should be greater than or equal to zero,
DecreaseInNumberOfSharesDuringPeriodAbstract,,
NumberOfSharesRedeemed,Should be greater than or equal to zero,
NumberOfSharesBoughtBack,Should be greater than or equal to zero,
OtherDecreaseInNumberOfShares,Should be greater than or equal to zero,
DecreaseInNumberOfSharesDuringPeriod,Should be greater than or equal to zero,
IncreaseDecreaseInNumberOfSharesOutstanding,,
NumberOfSharesOutstanding,Should be greater than or equal to zero,
ReconciliationOfValueOfSharesOutstandingAbstract,,
ShareCapital,,
ChangesInShareCapitalAbstract,,
IncreaseInShareCapitalDuringPeriodAbstract,,
AmountOfPublicIssueDuringPeriod,Should be greater than or equal to zero. Mandatory if corresponding Number of shares is entered and vice-a-versa.,
AmountOfBonusIssueDuringPeriod,Should be greater than or equal to zero. Mandatory if corresponding Number of shares is entered and vice-a-versa.,
AmountOfRightsIssueDuringPeriod,Should be greater than or equal to zero. Mandatory if corresponding Number of shares is entered and vice-a-versa.,
AmountOfPrivatePlacementIssueArisingOutOfConversionOfDebenturesPreferenceSharesDuringPeriod,"Should be greater than or equal to zero. Mandatory if ""NumberOfSharesIssuedInPrivatePlacementArisingOutOfConversionOfDebenturesPreferenceSharesDuringPeriod""  is entered and vice a versa",
AmountOfOtherPrivatePlacementIssueDuringPeriod,Should be greater than or equal to zero. Mandatory if corresponding Number of shares is entered and vice-a-versa.,
AmountOfPreferentialAllotmentIssueArisingOutOfConversionOfDebenturesPreferenceSharesDuringPeriod,"Should be greater than or equal to zero. Mandatory if ""NumberOfSharesIssuedAsPreferentialAllotmentArisingOutOfConversionOfDebenturesPreferenceSharesDuringPeriod"" is entered and vice a versa",
AmountOfOtherPreferentialAllotmentIssueDuringPeriod,Should be greater than or equal to zero. Mandatory if corresponding Number of shares is entered and vice-a-versa.,
AmountOfIssueAllottedForContractsWithoutPaymentReceivedInCashDuringPeriod,Should be greater than or equal to zero. Mandatory if corresponding Number of shares is entered and vice-a-versa.,
AmountOfIssueUnderSchemeOfAmalgamationDuringPeriod,Should be greater than or equal to zero. Mandatory if corresponding Number of shares is entered and vice-a-versa.,
AmountOfOtherIssuesDuringPeriod,Should be greater than or equal to zero. Mandatory if corresponding Number of shares is entered and vice-a-versa.,
